Аранжмани на Драган Ѓаконовски - Шпато на вокални творби од други автори во фонотеката на Македонска Радио Телевизија МРТВ,

"Податоците се преземени од монографијата за Драган Ѓаконовски - Шпато: Драган Ѓаконовски - Шпато Музичка Легенда, од Ванчо Димитров",
"http://issuu.com/dojrana/docs/spato_kompaktna_verzija",

наслов,автор,изведувач,минути,сигнатура
Сењорита Калипсо,Е.Халец,Љупка Апостолова,,АЗ-55/19
Село мое,Слободан Николовски,Блага Видец со ГЗО,,АЗ-60/12
Секогаш задоволна,Петар Пешев,Катица Ѓаконовска,,АЗ-60/14
Серенада во ноќта,М. Мицев,Велко Трпчевски,,АЗ-54/1
Сеќавање,Кирил Милев,Нина Спирова,,ПК-2223/10
Се руши еден свет,Мандел,Импулси,2.15,З-2813/1
Скопје,М. Мицев,Импулси,3.19,З-3821/2
Скопје младост моја,Драган Мијалковски,Драган Мијалковски,3.23,З-7747/2
Со цвеќе да ме пречекаш,Јанко Узунов,Јанко Узунов,3.42,З-5486/1
Со ноќта ме оставаш,Љубомир Бранѓолица,Зафир Хаџиманов
Сочувај ги бакнежите за мене,+++,Македонија,2.46,З-5105/1
Something stupid,C.Parks
Спомен,Живоин Глишиќ,Лена Трајковска,2.38,З-3866/2
Спомен,В. Стијаски,Љупка Апостолова,,З-9749/3
Срамежливи,Александар Џамбазов,Виолета Томовска/Диме Поповски,3.25,З-1576/3
Среќен сум што живеам,Александар Џамбазов,Зоран Милосављевиќ
Srangers in the night,B. Kaempfert,Зоран Милосављевиќ
Summer time,G.Gershwin,Нина Спирова
Тага за југ,Александар Џамбазов,Зоран Георгиев
Tammy,Livingston/ Evans,Нина Спирова
Татковино,Драган Мијалковски,Драган Мијалковски,3.33,З-7886/1
Татковино ќе ти се вратам,Кирил Милев,Веле Матевски,2.55,З-5901/2
Тажната кукла,А. Морозо,Лена Трајковска,,З-5891/1
Те сакам драга,Бернс,Импулси,4.10,З-2558/4
Те изгубив,Спрингфилд,Љ. Димитровска,2.32,З-479/2
Ти не си вистинска,Александар Џамбазов,Христо Крстевски,,АЗ-61/26
Теми,Ливингстон,Нина Спирова,,АЗ-45/18
Три парички во фонтаната,Г. Стаин,Христо Крстевски,,АЗ-49/5
Танц на спомените,П. Педшев,Забавен оркестар,,АЗ-49/18
Тема бр. 1,Димитар Масевски,Забавен оркестар,,АЗ-51/14
Ти си ми драга,Димитар Масевски,Христо Крстевски,,АЗ-51/21
Твојaтa прегратка,Џ. Гершвин,Забавен оркестар,,АЗ-50/21
Те имам под кожа,К. Портер,ТО на РТС,3.15,З-8511-1
Ти и јас,Александар Џамбазов,Зафир Хаџиманов,,АЗ-60/31
Ти пак сакаш некого,Григор Копров,Авторот,3.02,З-3881/2
Ти си ми сè,Драган Мијалковски,Драган Мијалковски,2.44,З-3569/2
Ти си тој,Ванчо Тарабунов,Цветанка Ласкова,3.05,З-6671/1
"Ти, ти, ти",Александар Џамбазов,Диме Поповски
Тито секогаш во нас,Ванчо Димитров,П. Христов,3.00,З-З-5709/2
Тајна љубов,С. Фејн,Нина Спирова,3.10,АЗ-45/1
